Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
08/09,UEFA Champions League,Group Stage,10/1/08,A,FC Barcelona,Shakhtar Donetsk,1:2,RW,90+2,1:2,Left-footed shot,Xavi
08/09,LaLiga,6,10/4/08,H,FC Barcelona,Atletico de Madrid,6:1,RW,8,3:0,Direct free kick,
08/09,UEFA Champions League,Group Stage,10/22/08,A,FC Barcelona,FC Basel 1893,0:5,CF,4,0:1,Left-footed shot,Dani Alves
08/09,LaLiga,9,11/1/08,A,FC Barcelona,Malaga CF,1:4,RW,19,1:2,Left-footed shot,
08/09,UEFA Champions League,Group Stage,11/4/08,H,FC Barcelona,FC Basel 1893,1:1,RW,61,1:0,Left-footed shot,Thierry Henry
08/09,Copa del Rey,Fifth Round,11/12/08,H,FC Barcelona,Benidorm CD,1:0,RW,86,1:0,Penalty rebound,
08/09,LaLiga,11,11/16/08,A,FC Barcelona,Recreativo Huelva,0:2,RW,51,0:1,Left-footed shot,Xavi
08/09,UEFA Champions League,Group Stage,11/26/08,A,FC Barcelona,Sporting CP,2:5,RW,49,0:3,Left-footed shot,Dani Alves
08/09,LaLiga,13,11/29/08,A,FC Barcelona,Sevilla FC,0:3,RW,78,0:2,Left-footed shot,Xavi
08/09,LaLiga,13,11/29/08,A,FC Barcelona,Sevilla FC,0:3,RW,90+2,0:3,Left-footed shot,Aleksandr Hleb
08/09,LaLiga,15,12/13/08,H,FC Barcelona,Real Madrid,2:0,RW,89,2:0,Counter attack goal,Thierry Henry
08/09,Copa del Rey,Round of 16,1/6/09,A,FC Barcelona,Atletico de Madrid,1:3,RW,11,0:1,Left-footed shot,Dani Alves
08/09,Copa del Rey,Round of 16,1/6/09,A,FC Barcelona,Atletico de Madrid,1:3,RW,57,0:2,Penalty,
08/09,Copa del Rey,Round of 16,1/6/09,A,FC Barcelona,Atletico de Madrid,1:3,RW,79,1:3,Right-footed shot,Andres Iniesta
08/09,LaLiga,18,1/11/09,A,FC Barcelona,CA Osasuna,2:3,RW,84,2:3,Left-footed shot,Dani Alves
08/09,LaLiga,19,1/17/09,H,FC Barcelona,Deportivo de La Coruaa,5:0,RW,21,1:0,Left-footed shot,
08/09,LaLiga,20,1/24/09,H,FC Barcelona,CD Numancia,4:1,RW,49,1:0,Left-footed shot,Dani Alves
08/09,LaLiga,20,1/24/09,H,FC Barcelona,CD Numancia,4:1,RW,76,4:1,Right-footed shot,
08/09,LaLiga,21,2/1/09,A,FC Barcelona,Racing Santander,1:2,RW,65,1:1,Right-footed shot,Xavi
08/09,LaLiga,21,2/1/09,A,FC Barcelona,Racing Santander,1:2,RW,81,1:2,Right-footed shot,
08/09,LaLiga,25,3/1/09,A,FC Barcelona,Atletico de Madrid,4:3,RW,30,0:2,Left-footed shot,
08/09,Copa del Rey,Semi-Finals,3/4/09,A,FC Barcelona,RCD Mallorca,1:1,RW,81,1:1,Left-footed shot,Gerard Pique
08/09,LaLiga,26,3/7/09,H,FC Barcelona,Athletic Bilbao,2:0,RW,31,2:0,Penalty,
08/09,UEFA Champions League,last 16,3/11/09,H,FC Barcelona,Olympique Lyon,5:2,RW,40,3:0,Left-footed shot,Samuel Etoo
08/09,LaLiga,28,3/22/09,H,FC Barcelona,Malaga CF,6:0,RW,26,2:0,Right-footed shot,Xavi
08/09,UEFA Champions League,Quarter-Finals,4/8/09,H,FC Barcelona,Bayern Munich,4:0,RW,9,1:0,Left-footed shot,Samuel Etoo
08/09,UEFA Champions League,Quarter-Finals,4/8/09,H,FC Barcelona,Bayern Munich,4:0,RW,38,3:0,Right-footed shot,Thierry Henry
08/09,LaLiga,31,4/18/09,A,FC Barcelona,Getafe CF,0:1,RW,18,0:1,Left-footed shot,Xavi
08/09,LaLiga,33,4/25/09,A,FC Barcelona,Valencia CF,2:2,RW,23,0:1,Left-footed shot,Andres Iniesta
08/09,LaLiga,34,5/2/09,A,FC Barcelona,Real Madrid,2:6,CF,35,1:3,Left-footed shot,Xavi
08/09,LaLiga,34,5/2/09,A,FC Barcelona,Real Madrid,2:6,CF,75,2:5,Left-footed shot,Xavi
08/09,Copa del Rey,Final,5/13/09,H,FC Barcelona,Athletic Bilbao,4:1,RW,55,2:1,Left-footed shot,Samuel Etoo
08/09,UEFA Champions League,Final,5/27/09,H,FC Barcelona,Manchester United,2:0,CF,70,2:0,Header,Xavi
09/10,Supercopa,final,8/23/09,H,FC Barcelona,Athletic Bilbao,3:0,RW,50,1:0,Right-footed shot,Zlatan Ibrahimovic
09/10,Supercopa,final,8/23/09,H,FC Barcelona,Athletic Bilbao,3:0,RW,68,2:0,Penalty,
09/10,LaLiga,2,9/12/09,A,FC Barcelona,Getafe CF,0:2,RW,78,0:2,Header,Zlatan Ibrahimovic
09/10,LaLiga,3,9/19/09,H,FC Barcelona,Atletico de Madrid,5:2,RW,15,2:0,Left-footed shot,Xavi
09/10,LaLiga,3,9/19/09,H,FC Barcelona,Atletico de Madrid,5:2,RW,90+3,5:2,Right-footed shot,Dani Alves
09/10,LaLiga,4,9/22/09,A,FC Barcelona,Racing Santander,1:4,RW,23,0:2,Left-footed shot,Xavi
09/10,LaLiga,4,9/22/09,A,FC Barcelona,Racing Santander,1:4,RW,63,0:4,Left-footed shot,Xavi
09/10,UEFA Champions League,Group Stage,9/29/09,H,FC Barcelona,Dynamo Kyiv,2:0,RW,25,1:0,Left-footed shot,Andres Iniesta
09/10,LaLiga,8,10/25/09,H,FC Barcelona,Real Zaragoza,6:1,RW,80,5:1,Left-footed shot,Andres Iniesta
09/10,LaLiga,10,11/7/09,H,FC Barcelona,RCD Mallorca,4:2,RW,86,4:1,Penalty,
09/10,Copa del Rey,5th round,11/10/09,H,FC Barcelona,Cultural Leonesa,5:0,RW,64,4:0,Left-footed shot,Pedro
09/10,LaLiga,13,12/5/09,A,FC Barcelona,Deportivo de La Coruaa,1:3,RW,26,0:1,Left-footed shot,Dani Alves
09/10,LaLiga,13,12/5/09,A,FC Barcelona,Deportivo de La Coruaa,1:3,RW,80,1:2,Header,Pedro
09/10,UEFA Champions League,Group Stage,12/9/09,A,FC Barcelona,Dynamo Kyiv,1:2,RW,86,1:2,Direct free kick,
09/10,FIFA Club World Cup,Semi-Finals,12/16/09,A,FC Barcelona,CF Atlante,1:3,RW,55,1:2,Left-footed shot,Zlatan Ibrahimovic
09/10,FIFA Club World Cup,Final,12/19/09,A,FC Barcelona,Club Estudiantes de La Plata,1:2 AET,RW,110,1:2,Chest,Dani Alves
09/10,LaLiga,17,1/10/10,A,FC Barcelona,CD Tenerife,0:5,RW,36,0:1,Left-footed shot,Bojan Krkic
09/10,LaLiga,17,1/10/10,A,FC Barcelona,CD Tenerife,0:5,RW,45,0:3,Right-footed shot,Bojan Krkic
09/10,LaLiga,17,1/10/10,A,FC Barcelona,CD Tenerife,0:5,RW,75,0:4,Left-footed shot,Bojan Krkic
09/10,LaLiga,18,1/16/10,H,FC Barcelona,Sevilla FC,4:0,RW,85,3:0,Left-footed shot,Dani Alves
09/10,LaLiga,18,1/16/10,H,FC Barcelona,Sevilla FC,4:0,RW,90+1,4:0,Left-footed shot,Ã‰ric Abidal
09/10,LaLiga,19,1/23/10,A,FC Barcelona,Real Valladolid CF,0:3,RW,54,0:3,Left-footed shot,Zlatan Ibrahimovic
