Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
11/12,Copa del Rey,last 16,1/4/12,H,FC Barcelona,CA Osasuna,4:0,CF,90,4:0,Left-footed shot,Xavi
11/12,LaLiga,19,1/15/12,H,FC Barcelona,Real Betis Balompie,4:2,CF,12,2:0,Right-footed shot,Alexis Sanchez
11/12,LaLiga,19,1/15/12,H,FC Barcelona,Real Betis Balompie,4:2,CF,86,4:2,Penalty,
11/12,LaLiga,1,1/22/12,A,FC Barcelona,Malaga CF,1:4,CF,32,0:1,Header,Adriano
11/12,LaLiga,1,1/22/12,A,FC Barcelona,Malaga CF,1:4,CF,51,0:3,Left-footed shot,Thiago
11/12,LaLiga,1,1/22/12,A,FC Barcelona,Malaga CF,1:4,CF,77,0:4,Left-footed shot,Pedro
11/12,LaLiga,22,2/4/12,H,FC Barcelona,Real Sociedad,2:1,CF,72,2:0,Left-footed shot,Dani Alves
11/12,UEFA Champions League,last 16,2/14/12,A,FC Barcelona,Bayer 04 Leverkusen,1:3,CF,88,1:3,Left-footed shot,Dani Alves
11/12,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:1,CF,21,1:1,Left-footed shot,
11/12,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:1,CF,27,2:1,Tap-in,
11/12,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:1,CF,75,3:1,Left-footed shot,Cristian Tello
11/12,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:1,CF,84,4:1,Left-footed shot,Sergio Busquets
11/12,LaLiga,25,2/26/12,A,FC Barcelona,Atletico de Madrid,1:2,CF,79,1:2,Direct free kick,
11/12,UEFA Champions League,last 16,3/7/12,H,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,25,1:0,Left-footed shot,Xavi
11/12,UEFA Champions League,last 16,3/7/12,H,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,42,2:0,Left-footed shot,Andres Iniesta
11/12,UEFA Champions League,last 16,3/7/12,H,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,50,3:0,Right-footed shot,Cesc Fabregas
11/12,UEFA Champions League,last 16,3/7/12,H,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,58,5:0,Left-footed shot,
11/12,UEFA Champions League,last 16,3/7/12,H,FC Barcelona,Bayer 04 Leverkusen,7:1,CF,85,7:0,Left-footed shot,Seydou Keita
11/12,LaLiga,27,3/11/12,A,FC Barcelona,Racing Santander,0:2,CF,28,0:1,Left-footed shot,Cesc Fabregas
11/12,LaLiga,27,3/11/12,A,FC Barcelona,Racing Santander,0:2,CF,55,0:2,Penalty,
11/12,LaLiga,28,3/17/12,A,FC Barcelona,Sevilla FC,0:2,CF,25,0:2,Left-footed shot,Andres Iniesta
11/12,LaLiga,29,3/20/12,H,FC Barcelona,Granada CF,5:3,CF,16,2:0,Left-footed shot,Isaac Cuenca
11/12,LaLiga,29,3/20/12,H,FC Barcelona,Granada CF,5:3,CF,66,3:2,Left-footed shot,Dani Alves
11/12,LaLiga,29,3/20/12,H,FC Barcelona,Granada CF,5:3,CF,85,5:2,Left-footed shot,Dani Alves
11/12,LaLiga,30,3/24/12,A,FC Barcelona,RCD Mallorca,0:2,CF,25,0:1,Direct free kick,
11/12,LaLiga,31,3/31/12,H,FC Barcelona,Athletic Bilbao,2:0,CF,57,2:0,Penalty,
11/12,UEFA Champions League,Quarter-Finals,4/3/12,H,FC Barcelona,AC Milan,3:1,RW,11,1:0,Penalty,
11/12,UEFA Champions League,Quarter-Finals,4/3/12,H,FC Barcelona,AC Milan,3:1,RW,42,2:1,Penalty,
11/12,LaLiga,32,4/7/12,A,FC Barcelona,Real Zaragoza,1:4,CF,39,1:2,Left-footed shot,Alexis Sanchez
11/12,LaLiga,32,4/7/12,A,FC Barcelona,Real Zaragoza,1:4,CF,86,1:3,Penalty,
11/12,LaLiga,33,4/10/12,H,FC Barcelona,Getafe CF,4:0,CF,44,2:0,Left-footed shot,Andres Iniesta
11/12,LaLiga,34,4/14/12,A,FC Barcelona,Levante UD,1:2,CF,64,1:1,Left-footed shot,Alexis Sanchez
11/12,LaLiga,34,4/14/12,A,FC Barcelona,Levante UD,1:2,CF,73,1:2,Penalty,
11/12,LaLiga,36,4/29/12,A,FC Barcelona,Rayo Vallecano,0:7,CF,16,0:1,Left-footed shot,Pedro
11/12,LaLiga,36,4/29/12,A,FC Barcelona,Rayo Vallecano,0:7,CF,88,0:7,Left-footed shot,Pedro
11/12,LaLiga,20,5/2/12,H,FC Barcelona,Malaga CF,4:1,CF,34,2:1,Penalty,
11/12,LaLiga,20,5/2/12,H,FC Barcelona,Malaga CF,4:1,CF,60,3:1,Penalty,
11/12,LaLiga,20,5/2/12,H,FC Barcelona,Malaga CF,4:1,CF,63,4:1,Left-footed shot,Andres Iniesta
11/12,LaLiga,37,5/5/12,H,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,11,1:0,Direct free kick,
11/12,LaLiga,37,5/5/12,H,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,63,2:0,Penalty,
11/12,LaLiga,37,5/5/12,H,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,73,3:0,Left-footed shot,Adriano
11/12,LaLiga,37,5/5/12,H,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,78,4:0,Penalty,
11/12,Copa del Rey,Final,5/25/12,H,FC Barcelona,Athletic Bilbao,3:0,CF,20,2:0,Right-footed shot,Andres Iniesta
12/13,LaLiga,1,8/19/12,H,FC Barcelona,Real Sociedad,5:1,CF,10,2:1,Left-footed shot,Pedro
12/13,LaLiga,1,8/19/12,H,FC Barcelona,Real Sociedad,5:1,CF,15,3:1,Left-footed shot,Cristian Tello
12/13,Supercopa,final,8/23/12,H,FC Barcelona,Real Madrid,3:2,CF,60,2:1,Penalty,
12/13,LaLiga,2,8/26/12,A,FC Barcelona,CA Osasuna,1:2,CF,74,1:1,Left-footed shot,Alexis Sanchez
12/13,LaLiga,2,8/26/12,A,FC Barcelona,CA Osasuna,1:2,CF,79,1:2,Left-footed shot,Jordi Alba
12/13,Supercopa,final,8/29/12,A,FC Barcelona,Real Madrid,2:1,CF,45,2:1,Direct free kick,
12/13,LaLiga,4,9/15/12,A,FC Barcelona,Getafe CF,1:4,CF,74,0:2,Penalty,
12/13,LaLiga,4,9/15/12,A,FC Barcelona,Getafe CF,1:4,CF,78,0:3,Left-footed shot,Pedro
12/13,UEFA Champions League,Group Stage,9/19/12,H,FC Barcelona,Spartak Moscow,3:2,CF,71,2:2,Left-footed shot,Cristian Tello
12/13,UEFA Champions League,Group Stage,9/19/12,H,FC Barcelona,Spartak Moscow,3:2,CF,80,3:2,Header,Alexis Sanchez
12/13,LaLiga,7,10/7/12,H,FC Barcelona,Real Madrid,2:2,CF,31,1:1,Left-footed shot,
12/13,LaLiga,7,10/7/12,H,FC Barcelona,Real Madrid,2:2,CF,60,2:1,Direct free kick,
12/13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruaa,4:5,CF,17,0:3,Left-footed shot,Cesc Fabregas
12/13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruaa,4:5,CF,43,2:4,Left-footed shot,Cesc Fabregas
12/13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruaa,4:5,CF,76,3:5,Left-footed shot,Xavi
12/13,LaLiga,9,10/27/12,A,FC Barcelona,Rayo Vallecano,0:5,CF,48,0:2,Left-footed shot,Marta Montoya
12/13,LaLiga,9,10/27/12,A,FC Barcelona,Rayo Vallecano,0:5,CF,89,0:5,Right-footed shot,Cesc Fabregas
12/13,UEFA Champions League,Group Stage,11/7/12,A,FC Barcelona,Celtic FC,2:1,CF,90+1,2:1,Tap-in,
12/13,LaLiga,11,11/11/12,A,FC Barcelona,RCD Mallorca,2:4,CF,43,0:2,Left-footed shot,Sergio Busquets
12/13,LaLiga,11,11/11/12,A,FC Barcelona,RCD Mallorca,2:4,CF,70,2:4,Left-footed shot,Alexis Sanchez
12/13,LaLiga,12,11/17/12,H,FC Barcelona,Real Zaragoza,3:1,CF,15,1:0,Left-footed shot,Jordi Alba
12/13,LaLiga,12,11/17/12,H,FC Barcelona,Real Zaragoza,3:1,CF,60,3:1,Left-footed shot,Marta Montoya
12/13,UEFA Champions League,Group Stage,11/20/12,A,FC Barcelona,Spartak Moscow,0:3,CF,27,0:2,Right-footed shot,
12/13,UEFA Champions League,Group Stage,11/20/12,A,FC Barcelona,Spartak Moscow,0:3,CF,39,0:3,Left-footed shot,Pedro
12/13,LaLiga,13,11/25/12,A,FC Barcelona,Levante UD,0:4,CF,46,0:1,Left-footed shot,Andres Iniesta
12/13,LaLiga,13,11/25/12,A,FC Barcelona,Levante UD,0:4,CF,51,0:2,Left-footed shot,Andres Iniesta
12/13,LaLiga,14,12/1/12,H,FC Barcelona,Athletic Bilbao,5:1,CF,24,2:0,Left-footed shot,Xavi
12/13,LaLiga,14,12/1/12,H,FC Barcelona,Athletic Bilbao,5:1,CF,69,5:1,Right-footed shot,Pedro
12/13,LaLiga,15,12/9/12,A,FC Barcelona,Real Betis Balompie,1:2,CF,16,0:1,Left-footed shot,Andres Iniesta
12/13,LaLiga,15,12/9/12,A,FC Barcelona,Real Betis Balompie,1:2,CF,25,0:2,Left-footed shot,Andres Iniesta
12/13,Copa del Rey,last 16,12/12/12,A,FC Barcelona,CÃ³rdoba CF,0:2,CF,10,0:1,Left-footed shot,David Villa
12/13,Copa del Rey,last 16,12/12/12,A,FC Barcelona,CÃ³rdoba CF,0:2,CF,73,0:2,Left-footed shot,Alexis Sanchez
12/13,LaLiga,16,12/16/12,H,FC Barcelona,Atletico de Madrid,4:1,CF,58,3:1,Left-footed shot,Alexis Sanchez
12/13,LaLiga,16,12/16/12,H,FC Barcelona,Atletico de Madrid,4:1,CF,88,4:1,Left-footed shot,
12/13,LaLiga,17,12/22/12,A,FC Barcelona,Real Valladolid CF,1:3,CF,59,0:2,Left-footed shot,Xavi
12/13,LaLiga,18,1/6/13,H,FC Barcelona,RCD Espanyol Barcelona,4:0,CF,28,4:0,Penalty,
12/13,LaLiga,19,1/13/13,A,FC Barcelona,Malaga CF,1:3,CF,26,0:1,Right-footed shot,
12/13,Copa del Rey,Quarter-Finals,1/16/13,H,FC Barcelona,Malaga CF,2:2,CF,29,1:1,Left-footed shot,
12/13,LaLiga,20,1/19/13,A,FC Barcelona,Real Sociedad,3:2,CF,6,0:1,Left-footed shot,Andres Iniesta
12/13,Copa del Rey,Quarter-Finals,1/24/13,A,FC Barcelona,Malaga CF,2:4,CF,79,2:4,Header,Dani Alves
12/13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:1,CF,11,1:0,Right-footed shot,Xavi
12/13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:1,CF,28,2:1,Penalty,
12/13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:1,CF,56,4:1,Left-footed shot,David Villa
12/13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:1,CF,58,5:1,Left-footed shot,Adriano
12/13,LaLiga,22,2/3/13,A,FC Barcelona,Valencia CF,1:1,CF,39,1:1,Penalty,
12/13,LaLiga,23,2/10/13,H,FC Barcelona,Getafe CF,6:1,CF,13,2:0,Left-footed shot,Thiago
12/13,LaLiga,24,2/16/13,A,FC Barcelona,Granada CF,1:2,CF,49,1:1,Left-footed shot,
12/13,LaLiga,24,2/16/13,A,FC Barcelona,Granada CF,1:2,CF,72,1:2,Direct free kick,
12/13,LaLiga,25,2/23/13,H,FC Barcelona,Sevilla FC,2:1,CF,60,2:1,Left-footed shot,Cristian Tello
12/13,LaLiga,26,3/2/13,A,FC Barcelona,Real Madrid,2:1,CF,18,1:1,Left-footed shot,Dani Alves
12/13,LaLiga,27,3/9/13,H,FC Barcelona,Deportivo de La Coruaa,2:0,CF,88,2:0,Left-footed shot,Alexis Sanchez
12/13,UEFA Champions League,last 16,3/12/13,H,FC Barcelona,AC Milan,4:0,CF,5,1:0,Left-footed shot,Xavi
12/13,UEFA Champions League,last 16,3/12/13,H,FC Barcelona,AC Milan,4:0,CF,40,2:0,Left-footed shot,Andres Iniesta
12/13,LaLiga,28,3/17/13,H,FC Barcelona,Rayo Vallecano,3:1,CF,40,2:0,Left-footed shot,David Villa
12/13,LaLiga,28,3/17/13,H,FC Barcelona,Rayo Vallecano,3:1,CF,57,3:0,Left-footed shot,David Villa
12/13,LaLiga,29,3/30/13,A,FC Barcelona,Celta de Vigo,2:2,CF ,73,1:2,Left-footed shot,Cristian Tello
12/13,UEFA Champions League,Quarter-Finals,4/2/13,A,FC Barcelona,Paris Saint-Germain,2:2,CF,38,0:1,Left-footed shot,Dani Alves
12/13,LaLiga,33,4/27/13,A,FC Barcelona,Athletic Bilbao,2:2,CF,67,1:1,Left-footed shot,Thiago
12/13,LaLiga,34,5/5/13,H,FC Barcelona,Real Betis Balompie,4:2,CF,60,3:2,Direct free kick,
12/13,LaLiga,34,5/5/13,H,FC Barcelona,Real Betis Balompie,4:2,CF,71,4:2,Left-footed shot,Alexis Sanchez
13/14,LaLiga,1,8/18/13,H,FC Barcelona,Levante UD,7:0,CF,13,2:0,Left-footed shot,Pedro
13/14,LaLiga,1,8/18/13,H,FC Barcelona,Levante UD,7:0,CF,42,5:0,Penalty,
13/14,LaLiga,3,9/1/13,A,FC Barcelona,Valencia CF,2:3,CF,11,0:1,Left-footed shot,Cesc Fabregas
13/14,LaLiga,3,9/1/13,A,FC Barcelona,Valencia CF,2:3,CF,39,0:2,Right-footed shot,Cesc Fabregas
13/14,LaLiga,3,9/1/13,A,FC Barcelona,Valencia CF,2:3,CF,41,0:3,Left-footed shot,Neymar
13/14,LaLiga,4,9/14/13,H,FC Barcelona,Sevilla FC,3:2,CF,75,2:0,Left-footed shot,Neymar
13/14,UEFA Champions League,Group Stage,9/18/13,H,FC Barcelona,Ajax Amsterdam,4:0,CF,22,1:0,Direct free kick,
13/14,UEFA Champions League,Group Stage,9/18/13,H,FC Barcelona,Ajax Amsterdam,4:0,CF,55,2:0,Left-footed shot,Sergio Busquets
13/14,UEFA Champions League,Group Stage,9/18/13,H,FC Barcelona,Ajax Amsterdam,4:0,CF,75,4:0,Left-footed shot,Xavi
13/14,LaLiga,6,9/24/13,H,FC Barcelona,Real Sociedad,4:1,CF,8,2:0,Header,Neymar
13/14,LaLiga,7,9/28/13,A,FC Barcelona,UD Almera,0:2,CF,21,0:1,Left-footed shot,Pedro
13/14,UEFA Champions League,Group Stage,10/22/13,A,FC Barcelona,AC Milan,1:1,CF,23,1:1,Left-footed shot,Andres Iniesta
13/14,UEFA Champions League,Group Stage,11/6/13,H,FC Barcelona,AC Milan,3:1,CF,30,1:0,Penalty,
13/14,UEFA Champions League,Group Stage,11/6/13,H,FC Barcelona,AC Milan,3:1,CF,83,3:1,Left-footed shot,Cesc Fabregas
13/14,Copa del Rey,last 16,1/8/14,H,FC Barcelona,Getafe CF,4:0,CF,90,3:0,Left-footed shot,Marta Montoya
13/14,Copa del Rey,last 16,1/8/14,H,FC Barcelona,Getafe CF,4:0,CF,90+2,4:0,Left-footed shot,Alex Song
13/14,Copa del Rey,last 16,1/16/14,A,FC Barcelona,Getafe CF,0:2,CF,43,0:1,Right-footed shot,Cristian Tello
13/14,Copa del Rey,last 16,1/16/14,A,FC Barcelona,Getafe CF,0:2,CF,63,0:2,Left-footed shot,
13/14,LaLiga,22,2/1/14,H,FC Barcelona,Valencia CF,2:3,CF,54,2:2,Penalty,
13/14,LaLiga,23,2/9/14,A,FC Barcelona,Sevilla FC,1:4,CF,44,1:2,Left-footed shot,Pedro
13/14,LaLiga,23,2/9/14,A,FC Barcelona,Sevilla FC,1:4,CF,56,1:3,Left-footed shot,Andres Iniesta
13/14,Copa del Rey,Semi-Finals,2/12/14,A,FC Barcelona,Real Sociedad,1:1,CF,26,0:1,Solo run,
13/14,LaLiga,24,2/15/14,H,FC Barcelona,Rayo Vallecano,6:0,CF,36,2:0,Left-footed shot,Cesc Fabregas
13/14,LaLiga,24,2/15/14,H,FC Barcelona,Rayo Vallecano,6:0,CF,68,5:0,Left-footed shot,Alexis Sanchez
13/14,UEFA Champions League,last 16,2/18/14,A,FC Barcelona,Manchester City,0:2,CF,54,0:1,Penalty,
13/14,LaLiga,25,2/22/14,A,FC Barcelona,Real Sociedad,3:1,CF,36,1:1,Left-footed shot,Marta Montoya
13/14,LaLiga,26,3/2/14,H,FC Barcelona,UD Almera,4:1,CF,24,2:0,Direct free kick,
13/14,UEFA Champions League,last 16,3/12/14,H,FC Barcelona,Manchester City,2:1,CF,67,1:0,Left-footed shot,
13/14,LaLiga,28,3/16/14,H,FC Barcelona,CA Osasuna,7:0,CF,18,1:0,Left-footed shot,Alexis Sanchez
13/14,LaLiga,28,3/16/14,H,FC Barcelona,CA Osasuna,7:0,CF,63,4:0,Left-footed shot,Andres Iniesta
13/14,LaLiga,28,3/16/14,H,FC Barcelona,CA Osasuna,7:0,CF,88,6:0,Right-footed shot,Dani Alves
13/14,LaLiga,29,3/23/14,A,FC Barcelona,Real Madrid,3:4,CF,42,2:2,Left-footed shot,Neymar
13/14,LaLiga,29,3/23/14,A,FC Barcelona,Real Madrid,3:4,CF,65,3:3,Penalty,
13/14,LaLiga,29,3/23/14,A,FC Barcelona,Real Madrid,3:4,CF,84,3:4,Penalty,
13/14,LaLiga,30,3/26/14,H,FC Barcelona,Celta de Vigo,3:0,CF,30,2:0,Right-footed shot,Andres Iniesta
13/14,LaLiga,31,3/29/14,A,FC Barcelona,RCD Espanyol Barcelona,0:1,CF,77,0:1,Penalty,
13/14,LaLiga,32,4/5/14,H,FC Barcelona,Real Betis Balompie,3:1,CF,15,1:0,Penalty,
13/14,LaLiga,32,4/5/14,H,FC Barcelona,Real Betis Balompie,3:1,CF,86,3:1,Penalty rebound,Antonio Amaya
13/14,LaLiga,34,4/20/14,H,FC Barcelona,Athletic Bilbao,2:1,CF,74,2:1,Direct free kick,
13/14,LaLiga,35,4/27/14,A,FC Barcelona,Villarreal CF,2:3,CF,83,2:3,Right-footed shot,Cesc Fabregas
13/14,LaLiga,36,5/3/14,H,FC Barcelona,Getafe CF,2:2,CF,23,1:0,Left-footed shot,Dani Alves
14/15,LaLiga,1,8/24/14,H,FC Barcelona,Elche CF,3:0,CF,42,1:0,Left-footed shot,Sergio Busquets
14/15,LaLiga,1,8/24/14,H,FC Barcelona,Elche CF,3:0,CF,64,3:0,Left-footed shot,
14/15,LaLiga,4,9/21/14,A,FC Barcelona,Levante UD,0:5,CF,77,0:5,Right-footed shot,
14/15,LaLiga,6,9/27/14,H,FC Barcelona,Granada CF,6:0,CF,62,4:0,Header,Dani Alves
14/15,LaLiga,6,9/27/14,H,FC Barcelona,Granada CF,6:0,CF,82,6:0,Right-footed shot,
14/15,UEFA Champions League,Group Stage,9/30/14,A,FC Barcelona,Paris Saint-Germain,3:2,RW,12,1:1,Left-footed shot,Andres Iniesta
14/15,LaLiga,7,10/4/14,A,FC Barcelona,Rayo Vallecano,0:2,CF,35,0:1,Left-footed shot,Gerard Pique
14/15,LaLiga,8,10/18/14,H,FC Barcelona,SD Eibar,3:0,CF,74,3:0,Left-footed shot,Neymar
14/15,UEFA Champions League,Group Stage,10/21/14,H,FC Barcelona,Ajax Amsterdam,3:1,CF,24,2:0,Left-footed shot,Andres Iniesta
14/15,UEFA Champions League,Group Stage,11/5/14,A,FC Barcelona,Ajax Amsterdam,0:2,RW,36,0:1,Header,Marc Bartra
14/15,UEFA Champions League,Group Stage,11/5/14,A,FC Barcelona,Ajax Amsterdam,0:2,RW,76,0:2,Left-footed shot,Pedro
14/15,LaLiga,12,11/22/14,H,FC Barcelona,Sevilla FC,5:1,RW,21,1:0,Direct free kick,
14/15,LaLiga,12,11/22/14,H,FC Barcelona,Sevilla FC,5:1,RW,73,4:1,Tap-in,Neymar
14/15,LaLiga,12,11/22/14,H,FC Barcelona,Sevilla FC,5:1,RW,78,5:1,Left-footed shot,Neymar
14/15,UEFA Champions League,Group Stage,11/25/14,A,FC Barcelona,APOEL Nicosia,0:4,CF ,38,0:2,Right-footed shot,Rafinha
14/15,UEFA Champions League,Group Stage,11/25/14,A,FC Barcelona,APOEL Nicosia,0:4,CF ,58,0:3,Right-footed shot,Dani Alves
14/15,UEFA Champions League,Group Stage,11/25/14,A,FC Barcelona,APOEL Nicosia,0:4,CF ,87,0:4,Right-footed shot,Pedro
14/15,LaLiga,14,12/7/14,H,FC Barcelona,RCD Espanyol Barcelona,5:1,RW,45+1,1:1,Left-footed shot,Xavi
14/15,LaLiga,14,12/7/14,H,FC Barcelona,RCD Espanyol Barcelona,5:1,RW,50,2:1,Right-footed shot,Luis Suarez
14/15,LaLiga,14,12/7/14,H,FC Barcelona,RCD Espanyol Barcelona,5:1,RW,81,5:1,Right-footed shot,Pedro
14/15,UEFA Champions League,Group Stage,12/10/14,H,FC Barcelona,Paris Saint-Germain,3:1,AM,19,1:1,Right-footed shot,Luis Suarez
14/15,LaLiga,16,12/20/14,H,FC Barcelona,CÃ³rdoba CF,5:0,RW,82,4:0,Right-footed shot,
14/15,LaLiga,16,12/20/14,H,FC Barcelona,CÃ³rdoba CF,5:0,RW,90,5:0,Right-footed shot,
14/15,Copa del Rey,last 16,1/8/15,H,FC Barcelona,Elche CF,5:0,RW ,45,3:0,Penalty,
14/15,LaLiga,18,1/11/15,H,FC Barcelona,Atletico de Madrid,3:1,RW,87,3:1,Left-footed shot,
14/15,LaLiga,19,1/18/15,A,FC Barcelona,Deportivo de La Coruaa,0:4,RW,11,0:1,Header,Ivan Rakitic
14/15,LaLiga,19,1/18/15,A,FC Barcelona,Deportivo de La Coruaa,0:4,RW,33,0:2,Left-footed shot,Luis Suarez
14/15,LaLiga,19,1/18/15,A,FC Barcelona,Deportivo de La Coruaa,0:4,RW,62,0:3,Left-footed shot,Ivan Rakitic
14/15,Copa del Rey,Quarter-Finals,1/21/15,H,FC Barcelona,Atletico de Madrid,1:0,RW ,85,1:0,Penalty rebound,
14/15,LaLiga,20,1/24/15,A,FC Barcelona,Elche CF,0:6,CF,55,0:2,Penalty,
14/15,LaLiga,20,1/24/15,A,FC Barcelona,Elche CF,0:6,CF,88,0:5,Left-footed shot,Marc Bartra
14/15,LaLiga,21,2/1/15,H,FC Barcelona,Villarreal CF,3:2,RW,55,3:2,Right-footed shot,Luis Suarez
14/15,LaLiga,22,2/8/15,A,FC Barcelona,Athletic Bilbao,2:5,RW,15,0:1,Direct free kick,
14/15,Copa del Rey,Semi-Finals,2/11/15,H,FC Barcelona,Villarreal CF,3:1,RW,41,1:0,Left-footed shot,Luis Suarez
14/15,LaLiga,23,2/15/15,H,FC Barcelona,Levante UD,5:0,CF,38,2:0,Right-footed shot,Marc Bartra
14/15,LaLiga,23,2/15/15,H,FC Barcelona,Levante UD,5:0,CF,59,3:0,Right-footed shot,Pedro
14/15,LaLiga,23,2/15/15,H,FC Barcelona,Levante UD,5:0,CF,65,4:0,Penalty,
14/15,LaLiga,25,2/28/15,A,FC Barcelona,Granada CF,1:3,RW,70,1:3,Right-footed shot,Luis Suarez
14/15,LaLiga,26,3/8/15,H,FC Barcelona,Rayo Vallecano,6:1,RW,56,3:0,Penalty,
14/15,LaLiga,26,3/8/15,H,FC Barcelona,Rayo Vallecano,6:1,RW,63,4:0,Tap-in,
14/15,LaLiga,26,3/8/15,H,FC Barcelona,Rayo Vallecano,6:1,RW,68,5:0,Left-footed shot,Pedro
14/15,LaLiga,27,3/14/15,A,FC Barcelona,SD Eibar,0:2,RW ,31,0:1,Penalty,
14/15,LaLiga,27,3/14/15,A,FC Barcelona,SD Eibar,0:2,RW ,55,0:2,Header,Ivan Rakitic
14/15,LaLiga,30,4/8/15,H,FC Barcelona,UD Almera,4:0,RW,33,1:0,Left-footed shot,Marc Bartra
14/15,LaLiga,31,4/11/15,A,FC Barcelona,Sevilla FC,2:2,RW,15,0:1,Left-footed shot,Neymar
14/15,LaLiga,32,4/18/15,H,FC Barcelona,Valencia CF,2:0,RW,90+4,2:0,Left-footed shot,
14/15,LaLiga,33,4/25/15,A,FC Barcelona,RCD Espanyol Barcelona,0:2,RW,25,0:2,Left-footed shot,Luis Suarez
14/15,LaLiga,34,4/28/15,H,FC Barcelona,Getafe CF,6:0,RW,9,1:0,Penalty,
14/15,LaLiga,34,4/28/15,H,FC Barcelona,Getafe CF,6:0,RW,47,6:0,Left-footed shot,Luis Suarez
14/15,LaLiga,35,5/2/15,A,FC Barcelona,CÃ³rdoba CF,0:8,RW,47,0:3,Header,Dani Alves
14/15,LaLiga,35,5/2/15,A,FC Barcelona,CÃ³rdoba CF,0:8,RW,80,0:6,Left-footed shot,Luis Suarez
14/15,UEFA Champions League,Semi-Finals,5/6/15,H,FC Barcelona,Bayern Munich,3:0,RW,77,1:0,Left-footed shot,Dani Alves
14/15,UEFA Champions League,Semi-Finals,5/6/15,H,FC Barcelona,Bayern Munich,3:0,RW,80,2:0,Right-footed shot,Ivan Rakitic
14/15,LaLiga,37,5/17/15,A,FC Barcelona,Atletico de Madrid,0:1,RW,65,0:1,Left-footed shot,Pedro
14/15,LaLiga,38,5/23/15,H,FC Barcelona,Deportivo de La Coruaa,2:2,RW,5,1:0,Header,Rafinha
14/15,LaLiga,38,5/23/15,H,FC Barcelona,Deportivo de La Coruaa,2:2,RW,59,2:0,Right-footed shot,Neymar
14/15,Copa del Rey,Final,5/30/15,A,FC Barcelona,Athletic Bilbao,1:3,RW,20,0:1,Solo run,
14/15,Copa del Rey,Final,5/30/15,A,FC Barcelona,Athletic Bilbao,1:3,RW,74,0:3,Left-footed shot,Dani Alves
15/16,UEFA Super Cup,Final,8/11/15,H,FC Barcelona,Sevilla FC,5:4 AET,RW,7,1:1,Direct free kick,
15/16,UEFA Super Cup,Final,8/11/15,H,FC Barcelona,Sevilla FC,5:4 AET,RW,16,2:1,Direct free kick,
15/16,Supercopa,final,8/17/15,H,FC Barcelona,Athletic Bilbao,1:1,RW,43,1:0,Left-footed shot,Luis Suarez
15/16,LaLiga,3,9/12/15,A,FC Barcelona,Atletico de Madrid,1:2,RW,77,1:2,Left-footed shot,Luis Suarez
15/16,LaLiga,4,9/20/15,H,FC Barcelona,Levante UD,4:1,AM ,61,3:0,Penalty,
15/16,LaLiga,4,9/20/15,H,FC Barcelona,Levante UD,4:1,AM ,90,4:1,Left-footed shot,Marc Bartra
15/16,UEFA Champions League,Group Stage,11/24/15,H,FC Barcelona,AS Roma,6:1,RW ,18,2:0,Left-footed shot,Luis Suarez
15/16,UEFA Champions League,Group Stage,11/24/15,H,FC Barcelona,AS Roma,6:1,RW ,60,5:0,Tap-in,
15/16,LaLiga,13,11/28/15,H,FC Barcelona,Real Sociedad,4:0,RW,90+1,4:0,Left-footed shot,Neymar
15/16,UEFA Champions League,Group Stage,12/9/15,A,FC Barcelona,Bayer 04 Leverkusen,1:1,CF ,20,0:1,Right-footed shot,Ivan Rakitic
15/16,LaLiga,15,12/12/15,H,FC Barcelona,Deportivo de La Coruaa,2:2,RW,39,1:0,Direct free kick,
15/16,FIFA Club World Cup,Final,12/20/15,A,FC Barcelona,CA River Plate,0:3,RW,36,0:1,Left-footed shot,Neymar
15/16,LaLiga,17,12/30/15,H,FC Barcelona,Real Betis Balompie,4:0,RW ,33,2:0,Right-footed shot,Neymar
15/16,Copa del Rey,last 16,1/6/16,H,FC Barcelona,RCD Espanyol Barcelona,4:1,RW,13,1:1,Left-footed shot,Andres Iniesta
15/16,Copa del Rey,last 16,1/6/16,H,FC Barcelona,RCD Espanyol Barcelona,4:1,RW,44,2:1,Direct free kick,
